Starting price: $10.00
on day 1, price is $10.03
on day 2, price is $10.15
on day 3, price is $10.10
on day 4, price is $10.08
on day 5, price is $10.05
on day 6, price is $10.04
on day 7, price is $10.02
on day 8, price is $9.97
on day 9, price is $9.94
on day 10, price is $9.91
on day 11, price is $9.89
on day 12, price is $9.95
on day 13, price is $9.93
on day 14, price is $9.96
on day 15, price is $10.08
on day 16, price is $10.15
on day 17, price is $10.10
on day 18, price is $10.10
on day 19, price is $10.09
on day 20, price is $10.05
on day 21, price is $10.04
on day 22, price is $10.00
on day 23, price is $10.03
on day 24, price is $10.16
on day 25, price is $10.25
on day 26, price is $10.22
on day 27, price is $10.24
on day 28, price is $10.27
on day 29, price is $10.24
on day 30, price is $10.22
on day 31, price is $10.18
on day 32, price is $10.27
on day 33, price is $10.27
on day 34, price is $10.24
on day 35, price is $10.33
on day 36, price is $10.40
on day 37, price is $10.56
on day 38, price is $10.60
on day 39, price is $10.61
on day 40, price is $10.72
on day 41, price is $10.74
on day 42, price is $10.72
on day 43, price is $10.85
on day 44, price is $10.84
on day 45, price is $10.80
on day 46, price is $10.75
on day 47, price is $10.85
on day 48, price is $10.83
on day 49, price is $10.95
on day 50, price is $10.93
on day 51, price is $10.93
on day 52, price is $10.91
on day 53, price is $10.89
on day 54, price is $10.89
on day 55, price is $10.97
on day 56, price is $10.94
on day 57, price is $10.92
on day 58, price is $10.87
on day 59, price is $10.95
on day 60, price is $10.90
on day 61, price is $10.90
on day 62, price is $10.88
on day 63, price is $11.06
on day 64, price is $11.01
on day 65, price is $10.98
on day 66, price is $11.01
on day 67, price is $11.11
on day 68, price is $11.16
on day 69, price is $11.12
on day 70, price is $11.15
on day 71, price is $11.12
on day 72, price is $11.12
on day 73, price is $11.08
on day 74, price is $11.07
on day 75, price is $11.04
on day 76, price is $11.01
on day 77, price is $11.17
on day 78, price is $11.14
on day 79, price is $11.11
on day 80, price is $11.21
on day 81, price is $11.31
on day 82, price is $11.28
on day 83, price is $11.24
on day 84, price is $11.19
on day 85, price is $11.31
on day 86, price is $11.43
on day 87, price is $11.38
on day 88, price is $11.45
on day 89, price is $11.57
on day 90, price is $11.54
on day 91, price is $11.52
on day 92, price is $11.51
on day 93, price is $11.57
on day 94, price is $11.69
on day 95, price is $11.65
on day 96, price is $11.64
on day 97, price is $11.78
on day 98, price is $11.94
on day 99, price is $11.95
on day 100, price is $11.95
on day 101, price is $11.97
on day 102, price is $12.02
on day 103, price is $12.04
on day 104, price is $12.01
on day 105, price is $12.15
on day 106, price is $12.18
on day 107, price is $12.21
on day 108, price is $12.19
on day 109, price is $12.36
on day 110, price is $12.48
on day 111, price is $12.47
on day 112, price is $12.49
on day 113, price is $12.46
on day 114, price is $12.62
on day 115, price is $12.60
on day 116, price is $12.56
on day 117, price is $12.52
on day 118, price is $12.51
on day 119, price is $12.48
on day 120, price is $12.59
on day 121, price is $12.64
on day 122, price is $12.67
on day 123, price is $12.63
on day 124, price is $12.72
on day 125, price is $12.79
on day 126, price is $12.90
on day 127, price is $12.92
on day 128, price is $12.96
on day 129, price is $12.91
on day 130, price is $12.89
on day 131, price is $12.85
on day 132, price is $12.81
on day 133, price is $12.92
on day 134, price is $12.98
on day 135, price is $13.10
on day 136, price is $13.09
on day 137, price is $13.15
on day 138, price is $13.33
on day 139, price is $13.30
on day 140, price is $13.27
on day 141, price is $13.32
on day 142, price is $13.46
on day 143, price is $13.47
on day 144, price is $13.44
on day 145, price is $13.41
on day 146, price is $13.53
on day 147, price is $13.53
on day 148, price is $13.56
on day 149, price is $13.51
on day 150, price is $13.67
on day 151, price is $13.65
on day 152, price is $13.74
on day 153, price is $13.71
on day 154, price is $13.68
on day 155, price is $13.67
on day 156, price is $13.67
on day 157, price is $13.84
on day 158, price is $13.81
on day 159, price is $13.80
on day 160, price is $13.91
on day 161, price is $13.87
on day 162, price is $13.90
on day 163, price is $14.00
on day 164, price is $14.08
on day 165, price is $14.15
on day 166, price is $14.11
on day 167, price is $14.09
on day 168, price is $14.06
on day 169, price is $14.22
on day 170, price is $14.37
on day 171, price is $14.47
on day 172, price is $14.48
on day 173, price is $14.43
on day 174, price is $14.42
on day 175, price is $14.37
on day 176, price is $14.33
on day 177, price is $14.28
on day 178, price is $14.24
on day 179, price is $14.26
on day 180, price is $14.23
on day 181, price is $14.20
on day 182, price is $14.35
on day 183, price is $14.32
on day 184, price is $14.27
on day 185, price is $14.27
on day 186, price is $14.38
on day 187, price is $14.50
on day 188, price is $14.46
on day 189, price is $14.56
on day 190, price is $14.52
on day 191, price is $14.55
on day 192, price is $14.71
on day 193, price is $14.69
on day 194, price is $14.66
on day 195, price is $14.69
on day 196, price is $14.64
on day 197, price is $14.76
on day 198, price is $14.87
on day 199, price is $14.90
on day 200, price is $15.00
on day 201, price is $15.08
on day 202, price is $15.18
on day 203, price is $15.19
on day 204, price is $15.19
on day 205, price is $15.21
on day 206, price is $15.27
on day 207, price is $15.38
on day 208, price is $15.36
on day 209, price is $15.33
on day 210, price is $15.44
on day 211, price is $15.43
on day 212, price is $15.58
on day 213, price is $15.53
on day 214, price is $15.52
on day 215, price is $15.53
on day 216, price is $15.48
on day 217, price is $15.58
on day 218, price is $15.53
on day 219, price is $15.49
on day 220, price is $15.44
on day 221, price is $15.41
on day 222, price is $15.39
on day 223, price is $15.35
on day 224, price is $15.33
on day 225, price is $15.38
on day 226, price is $15.54
on day 227, price is $15.60
on day 228, price is $15.76
on day 229, price is $15.92
on day 230, price is $16.07
on day 231, price is $16.16
on day 232, price is $16.14
on day 233, price is $16.14
on day 234, price is $16.24
on day 235, price is $16.20
on day 236, price is $16.24
on day 237, price is $16.25
on day 238, price is $16.21
on day 239, price is $16.21
on day 240, price is $16.25
on day 241, price is $16.22
on day 242, price is $16.20
on day 243, price is $16.17
on day 244, price is $16.19
on day 245, price is $16.23
on day 246, price is $16.19
on day 247, price is $16.22
on day 248, price is $16.36
on day 249, price is $16.32
on day 250, price is $16.31
on day 251, price is $16.29
on day 252, price is $16.28
on day 253, price is $16.26
on day 254, price is $16.38
on day 255, price is $16.53
on day 256, price is $16.51
on day 257, price is $16.46
on day 258, price is $16.41
on day 259, price is $16.36
on day 260, price is $16.32
on day 261, price is $16.31
on day 262, price is $16.30
on day 263, price is $16.35
on day 264, price is $16.41
on day 265, price is $16.37
on day 266, price is $16.48
on day 267, price is $16.63
on day 268, price is $16.71
on day 269, price is $16.87
on day 270, price is $16.83
on day 271, price is $16.83
on day 272, price is $16.93
on day 273, price is $17.08
on day 274, price is $17.06
on day 275, price is $17.03
on day 276, price is $17.00
on day 277, price is $16.95
on day 278, price is $17.07
on day 279, price is $17.24
on day 280, price is $17.19
on day 281, price is $17.28
on day 282, price is $17.31
on day 283, price is $17.28
on day 284, price is $17.38
on day 285, price is $17.36
on day 286, price is $17.32
on day 287, price is $17.30
on day 288, price is $17.28
on day 289, price is $17.25
on day 290, price is $17.41
on day 291, price is $17.56
on day 292, price is $17.55
on day 293, price is $17.70
on day 294, price is $17.69
on day 295, price is $17.66
on day 296, price is $17.66
on day 297, price is $17.79
on day 298, price is $17.83
on day 299, price is $17.79
on day 300, price is $17.74
on day 301, price is $17.73
on day 302, price is $17.73
on day 303, price is $17.68
on day 304, price is $17.69
on day 305, price is $17.67
on day 306, price is $17.83
on day 307, price is $17.82
